meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,has_revisions,one_revision_name,agendas,parties,one_revision_url
1961,ATCM,1,ATCM I,wp,1,False,Matters relating to logistic support,ATCM 12,New Zealand,https://documents.ats.aq/ATCM1/wp/ATCM1_wp001_e.pdf
1961,ATCM,1,ATCM I,wp,2,True,Exchange of scientific personnel,ATCM 7,New Zealand,https://documents.ats.aq/ATCM1/wp/ATCM1_wp002_rev1_e.pdf
1961,ATCM,1,ATCM I,wp,3,False,Exchange of information regarding plans for scientific programmes,ATCM 6,New Zealand,https://documents.ats.aq/ATCM1/wp/ATCM1_wp003_e.pdf
1961,ATCM,1,ATCM I,wp,4,False,Exchange and making available of scientific observations and results,ATCM 8,United States,https://documents.ats.aq/ATCM1/wp/ATCM1_wp004_e.pdf
1961,ATCM,1,ATCM I,wp,5,False,Relations with SCAR,ATCM 9,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp005_e.pdf
1961,ATCM,1,ATCM I,wp,6,False,Preservation of historic sites,ATCM 14,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp006_e.pdf
1961,ATCM,1,ATCM I,wp,7,False,Exchange of information concerning expeditions and stations,ATCM 11,New Zealand,https://documents.ats.aq/ATCM1/wp/ATCM1_wp007_e.pdf
1961,ATCM,1,ATCM I,wp,8,False,Reciprocal assistance among expeditions,ATCM 15,France,https://documents.ats.aq/ATCM1/wp/ATCM1_wp008_e.pdf
1961,ATCM,1,ATCM I,wp,9,False,Relations with other international organisations having a scientific or technical interest in Antarctica,ATCM 10,Australia | Russian Federation,https://documents.ats.aq/ATCM1/wp/ATCM1_wp009_e.pdf
1961,ATCM,1,ATCM I,wp,11,False,Co-operation in mail services,ATCM 17,United Kingdom,https://documents.ats.aq/ATCM1/wp/ATCM1_wp011_e.pdf
1961,ATCM,1,ATCM I,wp,12,False,Conservation and preservation of flora and fauna,ATCM 13,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp012_s.pdf
1961,ATCM,1,ATCM I,wp,13,False,Preservation and conservation of living resources,ATCM 13,United States,https://documents.ats.aq/ATCM1/wp/ATCM1_wp013_e.pdf
1961,ATCM,1,ATCM I,wp,14,False,Arrangements for radio communications,ATCM 16,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp014_e.pdf
1961,ATCM,1,ATCM I,wp,15,False,Preservation and conservation of living resources,ATCM 13,Chile,https://documents.ats.aq/ATCM1/wp/ATCM1_wp015_e.pdf
1961,ATCM,1,ATCM I,wp,16,False,Measures on radio communication,ATCM 16,Russian Federation,https://documents.ats.aq/ATCM1/wp/ATCM1_wp016_e.pdf
1961,ATCM,1,ATCM I,wp,17,False,The exchange of information and advice relating to the application of nuclear energy in the treaty area,ATCM 18,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp017_e.pdf
1961,ATCM,1,ATCM I,wp,18,False,Preservation and conservation of living resources,ATCM 13,United Kingdom,https://documents.ats.aq/ATCM1/wp/ATCM1_wp018_e.pdf
1961,ATCM,1,ATCM I,wp,19,False,Relations with SCAR,ATCM 9,Argentina,https://documents.ats.aq/ATCM1/wp/ATCM1_wp019_e.pdf
1961,ATCM,1,ATCM I,wp,20,False,Co-operations in Mail Services,ATCM 17,United States,https://documents.ats.aq/ATCM1/wp/ATCM1_wp020_e.pdf
1961,ATCM,1,ATCM I,wp,21,False,Arrangements for radio communications,ATCM 16,Argentina,https://documents.ats.aq/ATCM1/wp/ATCM1_wp021_e.pdf
1961,ATCM,1,ATCM I,wp,22,False,Arrangements for radio communications,ATCM 16,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp022_e.pdf
1961,ATCM,1,ATCM I,wp,23,False,Questions of procedure,ATCM 19,Chile,https://documents.ats.aq/ATCM1/wp/ATCM1_wp023_e.pdf
1961,ATCM,1,ATCM I,wp,24,False,Date and place of the next Meeting,ATCM 20,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp024_e.pdf
1961,ATCM,1,ATCM I,wp,25,False,Preservation and conservation of living resources,ATCM 13,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp025_e.pdf
1961,ATCM,1,ATCM I,wp,26,False,Co-operation in mail services,ATCM 17,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp026_e.pdf
1961,ATCM,1,ATCM I,wp,27,False,Administrative arrangements,ATCM 19,United States,https://documents.ats.aq/ATCM1/wp/ATCM1_wp027_e.pdf
1961,ATCM,1,ATCM I,wp,28,False,Administrative arrangements,ATCM 19,United Kingdom,https://documents.ats.aq/ATCM1/wp/ATCM1_wp028_e.pdf
1961,ATCM,1,ATCM I,wp,29,False,Administrative arrangements,ATCM 19,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp029_e.pdf
1961,ATCM,1,ATCM I,wp,30,False,Other business,ATCM 21,Chile | New Zealand,https://documents.ats.aq/ATCM1/wp/ATCM1_wp030_e.pdf
1961,ATCM,1,ATCM I,wp,31,False,Antarctic Communications,ATCM 16,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp031_e.pdf
1961,ATCM,1,ATCM I,wp,32,False,Application of Nuclear Energy in the Treaty Area,ATCM 18,South Africa,https://documents.ats.aq/ATCM1/wp/ATCM1_wp032_e.pdf
1961,ATCM,1,ATCM I,wp,33,False,Matters relating to logistic support,ATCM 12,New Zealand,https://documents.ats.aq/ATCM1/wp/ATCM1_wp033_e.pdf
1961,ATCM,1,ATCM I,wp,34,False,Preservation and conservation of living resources,ATCM 13,United Kingdom,https://documents.ats.aq/ATCM1/wp/ATCM1_wp034_e.pdf
1962,ATCM,2,ATCM II,wp,1,False,Approval of the Regulations. Presented by the Chilean Delegation,ATCM 5,Chile,https://documents.ats.aq/ATCM2/wp/ATCM2_wp001_e.pdf
1962,ATCM,2,ATCM II,wp,2,False,Measures to ensure the exchange of the results and data of scientific observations carried out in Antarctica,ATCM 6,United States,https://documents.ats.aq/ATCM2/wp/ATCM2_wp002_e.pdf
1962,ATCM,2,ATCM II,wp,3,False,Draft convention on the conservation of wild life in the Antarctic,ATCM 7,United Kingdom,https://documents.ats.aq/ATCM2/wp/ATCM2_wp003_e.pdf
1962,ATCM,2,ATCM II,wp,4,False,Measures for the protection and conservation of living resources and exchange of information on the subject,ATCM 7,Chile,https://documents.ats.aq/ATCM2/wp/ATCM2_wp004_e.pdf
1962,ATCM,2,ATCM II,wp,5,False,"Complementation of the exchange of information supplied in accordance with Article VII, Paragraph 5 of the Antarctic Treaty, and Recommendation I-VI of the First Consultative Meeting",ATCM 9,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp005_e.pdf
1962,ATCM,2,ATCM II,wp,6,False,Exchange of information under Article VII.5,ATCM 9,Australia,https://documents.ats.aq/ATCM2/wp/ATCM2_wp006_e.pdf
1962,ATCM,2,ATCM II,wp,7,False,Exchange of information on logistic activities,ATCM 10,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp007_e.pdf
1962,ATCM,2,ATCM II,wp,8,False,Administrative facilities for incoming and outgoing samples specimens and scientifc instruments,ATCM 12,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp008_e.pdf
