number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
M1,Measure,"Measure 1 (2008) - ATCM XXXI - CEP XI, Kyiv",Designation of ASMA 7 (Southwest Anvers island and Palmer Basin),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,ASMAs (Antarctic Specially Managed Areas) | Southwest Anvers island and Palmer Basin (ASMA 7),ASMA 7 - Management Plan | https://documents.ats.aq/recatt/att385_e.pdf,93,,,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/391?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M1.txt
M2,Measure,"Measure 2 (2008) - ATCM XXXI - CEP XI, Kyiv",Designation of ASPA 168 (Mount Harding),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,Mount Harding (ASPA 168),ASPA 168 - Management Plan | https://documents.ats.aq/recatt/att386_e.pdf,93,Management Plan for ASPA No 168 annexed to this Measure revoked by Measure 17 (2015),,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/392?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M2.txt
M3,Measure,"Measure 3 (2008) - ATCM XXXI - CEP XI, Kyiv",Designation of ASPA 169 (Amanda Bay),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,Amanda Bay (ASPA 169),ASPA 169 - Management Plan | https://documents.ats.aq/recatt/att387_e.pdf,93,Management Plan revoked by Measure 10 (2014).,,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/393?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M3.txt
M4,Measure,"Measure 4 (2008) - ATCM XXXI - CEP XI, Kyiv",Designation of ASPA 170 (Marion Nunataks),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,Marion Nunataks (ASPA 170),ASPA 170 - Management Plan | https://documents.ats.aq/recatt/att388_e.pdf,93,Management Plan for ASPA No. 170 not effective by Measure 16 (2013),,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/394?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M4.txt
M5,Measure,"Measure 5 (2008) - ATCM XXXI - CEP XI, Kyiv",Revised Management Plan for ASPA 118 (Summit of Mount Melbourne),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,Summit of Mount Melbourne (ASPA 118),ASPA 118 - Management Plan | https://documents.ats.aq/recatt/att389_e.pdf,93,Management Plan revoked by Measure 13 (2014). ASPA No. 118 shall not be used as future designations.,,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/395?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M5.txt
M6,Measure,"Measure 6 (2008) - ATCM XXXI - CEP XI, Kyiv",Revised Management Plan for ASPA 123 (Barwick and Balham Valleys),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,Barwick Valley (ASPA 123),ASPA 123 - Management Plan | https://documents.ats.aq/recatt/att390_e.pdf,93,Management Plan for ASPA No. 123 not effective by Measure 3 (2013),,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/396?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M6.txt
M7,Measure,"Measure 7 (2008) - ATCM XXXI - CEP XI, Kyiv",Revised Management Plan for ASPA 124 (Cape Crozier),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,Cape Crozier (ASPA 124),ASPA 124 - Management Plan | https://documents.ats.aq/recatt/att391_e.pdf,93,Management Plan revoked by Measure 3 (2014),,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/397?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M7.txt
M8,Measure,"Measure 8 (2008) - ATCM XXXI - CEP XI, Kyiv",Revised Management Plan for ASPA 135 (North-east Bailey Peninsula),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval). No longer current: M 6 (2013),Area protection and management,Bailey Peninsula (ASPA 135),ASPA 135 - Management Plan | https://documents.ats.aq/recatt/att392_e.pdf,93,Management Plan for ASPA No. 135 not effective by Measure 6 (2013),,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/398?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M8.txt
M9,Measure,"Measure 9 (2008) - ATCM XXXI - CEP XI, Kyiv",Revised Management Plan for ASPA 137 (North-west White Island),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,White Island (ASPA 137),ASPA 137 - Management Plan | https://documents.ats.aq/recatt/att393_e.pdf,93,,,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/399?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M9.txt
M10,Measure,"Measure 10 (2008) - ATCM XXXI - CEP XI, Kyiv",Revised Management Plan for ASPA 138 (Linnaeus Terrace),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,Linnaeus Terrace (ASPA 138),ASPA 138 - Management Plan | https://documents.ats.aq/recatt/att394_e.pdf,93,Management Plan for ASPA No. 138 not effective by Measure 8 (2013),,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/400?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M10.txt
M11,Measure,"Measure 11 (2008) - ATCM XXXI - CEP XI, Kyiv",Revised Management Plan for ASPA 154 (Botany Bay),2008,ATCM XXXI - CEP XI,Effective,Effective 11/09/2008 (Fast Approval),Area protection and management,Botany Bay (ASPA 154),ASPA 154 - Management Plan | https://documents.ats.aq/recatt/att395_e.pdf,93,Management Plan for ASPA No. 154 not effective by Measure 12 (2013),,Fast Approval: Entered into effect on 11 Sep 2008,https://www.ats.aq/devAS/Meetings/Measure/401?s=1&iframe=1&from=06/13/2008&to=06/13/2008&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2008/Measure_M11.txt
