meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
2008,ATCM,31,ATCM XXXI - CEP XI,wp,1,0,"Proposal by Australia, the United Kingdom and Norway to amend Rule 11 of the Rules of Procedure of the ATCM",ATCM 5,Norway | Australia | United Kingdom,https://documents.ats.aq/ATCM31/wp/ATCM31_wp001_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,2,0,"Site Guidelines for Wordie House, Winter Island, Argentine Islands",CEP 7(c),Ukraine | United Kingdom,https://documents.ats.aq/ATCM31/wp/ATCM31_wp002_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,3,0,"Proposal for a new Antarctic Specially Protected Area at Narębski Point, Barton Peninsula, King George Island",CEP 7(a),Korea (ROK),https://documents.ats.aq/ATCM31/wp/ATCM31_wp003_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,4,0,Report of the ATCM Intersessional Contact Group to examine the issue of Biological Prospecting in the Antarctic Treaty Area,ATCM 17,Netherlands,https://documents.ats.aq/ATCM31/wp/ATCM31_wp004_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,5,0,The Draft Comprehensive Environmental Evaluation for the construction and operation of the Chinese Dome A Station in Antarctica,CEP 6(a),China,https://documents.ats.aq/ATCM31/wp/ATCM31_wp005_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,6,0,Environmentally sound Tourism in the Antarctic Treaty Area,ATCM 11,France | Germany,https://documents.ats.aq/ATCM31/wp/ATCM31_wp006_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,7,0,"Five Years Review of Antarctic Specially Protected Area (ASPA) N° 161 Terra Nova Bay, Ross Sea",CEP 7(a),Italy,https://documents.ats.aq/ATCM31/wp/ATCM31_wp007_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,8,0,"Revised Management Plan for Antarctic Specially Protected Area No. 138 Linnaeus Terrace, Asgard Range, Victoria Land",CEP 7(a),United States,https://documents.ats.aq/ATCM31/wp/ATCM31_wp008_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,9,0,"Revised Management Plan for Antarctic Specially Protected Area No. 137, Northwest White Island, McMurdo Sound",CEP 7(a),United States,https://documents.ats.aq/ATCM31/wp/ATCM31_wp009_e.doc
2008,ATCM,31,ATCM XXXI - CEP XI,wp,10,1,"Status of the Regional, Antarctic Population of the Southern Giant Petrel - Progress",ATCM 13 | CEP 8(b),SCAR,https://documents.ats.aq/ATCM31/wp/ATCM31_wp010_rev1_e.doc
