meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url,notes
1961,ATCM,1,ATCM I,wp,10,,,,,,Marked “cancelled” in list_of_docs_1961.pdf
1968,ATCM,5,ATCM V,wp,5,,,,,,Marked “Document not available” in list_of_docs_1968.pdf
1968,ATCM,5,ATCM V,wp,6,,,,,,Marked “Document not available” in list_of_docs_1968.pdf
1968,ATCM,5,ATCM V,wp,7,,,,,,Marked “Document not available” in list_of_docs_1968.pdf
1968,ATCM,5,ATCM V,wp,23,0,Records of the Antarctic Treaty Meeting of Experts on Logistics,,,,paper_name from list_of_docs_1968.pdf
1975,ATCM,8,ATCM VIII,wp,7,,,,,,Marked “This number does not appear to have been used” in list_of_docs_1975.pdf
1977,ATCM,9,ATCM IX,wp,2,0,"Final Report of the Special Prepatory Meeting for the Ninth Consultative Meeting of the Antarctic Treaty, Paris",,,,paper_name from list_of_docs_1977.pdf
1977,ATCM,9,ATCM IX,wp,86,0,"Opening Statement by Dr J A Heap, Delegation of the United Kingdom",,,,paper_name from list_of_docs_1977.pdf
1979,ATCM,10,ATCM X,wp,45,,,,,,Marked “No document issued under this number” in list_of_docs_1979.pdf
1985,ATCM,13,ATCM XIII,wp,33,0,Re-issue of WP 31 Operation of the Antarctic Treaty System - Draft Recommendation,,,,paper_name from list_of_docs_1985.pdf
1989,ATCM,15,ATCM XV,wp,18,0,Formulation of a strategy to prevent marine pollution and provide maritime safety in Antarctica,,Uruguay,,"paper_name, parties from list_of_docs_1989.pdf; updated from “USSR” to match rest of data"
1989,ATCM,15,ATCM XV,wp,22,0,White book,,Chile,,"paper_name, parties from list_of_docs_1989.pdf; updated from “USSR” to match rest of data"
1989,ATCM,15,ATCM XV,wp,25,0,Surveillance de l’environnement en Antarctique,,,,paper_name from list_of_docs_1989.pdf (no parties listed)
1989,ATCM,15,ATCM XV,wp,27,0,Draft recommendation re waste disposal,,Russian Federation,,"paper_name, parties from list_of_docs_1989.pdf; updated from “USSR” to match rest of data"
1989,ATCM,15,ATCM XV,wp,30,0,Working paper on tourism,,Germany,,"paper_name, parties from list_of_docs_1989.pdf"
1989,ATCM,15,ATCM XV,wp,43,0,Compte rendu des visites effectuees sur le Territoire Antarctique Australien,,,,"paper_name, parties from list_of_docs_1989.pdf"
1989,ATCM,15,ATCM XV,wp,47,,,,,,Marked “missing” in list_of_docs_1989.pdf
1989,ATCM,15,ATCM XV,wp,56,0,Historic monuments,,Chile,,"paper_name, parties from list_of_docs_1989.pdf"
1989,ATCM,15,ATCM XV,wp,62,,,,,,Marked “missing” in list_of_docs_1989.pdf
1991,ATCM,16,ATCM XVI,wp,7,,,,,,Empty and marked with question mark and “Not issued” in list_of_docs_1991.pdf
1991,ATCM,16,ATCM XVI,wp,46,,,,,,"From list_of_docs_1991.pdf: “this paper not formally ciculated: the text of it appears in WP57 as the Annex on area protection and management"""
1995,ATCM,19,ATCM XIX,wp,1,0,Measures adopted under Article IX of the Antarctic Treaty,,Belgium | Chile | France | Germany | United Kingdom,,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt"
1995,ATCM,19,ATCM XIX,wp,2,0,Inspections under the Antarctic Treaty inspection checklists,,United Kingdom,,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt"
1995,ATCM,19,ATCM XIX,wp,3,0,Environmental Impact Assessment: Circulation of Information,,United Kingdom,,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt"
1995,ATCM,19,ATCM XIX,wp,3,1,Environmental Impact Assessment: Circulation of Information,,United Kingdom,,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt"
