meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1961,ATCM,1,ATCM I,wp,10,,,,,
1968,ATCM,5,ATCM V,wp,5,,,,,
1968,ATCM,5,ATCM V,wp,6,,,,,
1968,ATCM,5,ATCM V,wp,7,,,,,
1968,ATCM,5,ATCM V,wp,23,,,,,
1975,ATCM,8,ATCM VIII,wp,7,,,,,
1977,ATCM,9,ATCM IX,wp,2,,,,,
1977,ATCM,9,ATCM IX,wp,86,,,,,
1979,ATCM,10,ATCM X,wp,45,,,,,
1985,ATCM,13,ATCM XIII,wp,33,,,,,
1989,ATCM,15,ATCM XV,wp,18,,,,,
1989,ATCM,15,ATCM XV,wp,22,,,,,
1989,ATCM,15,ATCM XV,wp,25,,,,,
1989,ATCM,15,ATCM XV,wp,27,,,,,
1989,ATCM,15,ATCM XV,wp,30,,,,,
1989,ATCM,15,ATCM XV,wp,43,,,,,
1989,ATCM,15,ATCM XV,wp,47,,,,,
1989,ATCM,15,ATCM XV,wp,56,,,,,
1989,ATCM,15,ATCM XV,wp,62,,,,,
1991,ATCM,16,ATCM XVI,wp,7,,,,,
1991,ATCM,16,ATCM XVI,wp,46,,,,,
1995,ATCM,19,ATCM XIX,wp,1,,,,,
1995,ATCM,19,ATCM XIX,wp,2,,,,,
1995,ATCM,19,ATCM XIX,wp,3,,,,,
1995,ATCM,19,ATCM XIX,wp,4,,,,,
1995,ATCM,19,ATCM XIX,wp,5,,,,,
1995,ATCM,19,ATCM XIX,wp,6,,,,,
1995,ATCM,19,ATCM XIX,wp,7,,,,,
1995,ATCM,19,ATCM XIX,wp,8,,,,,
1995,ATCM,19,ATCM XIX,wp,9,,,,,
1995,ATCM,19,ATCM XIX,wp,10,,,,,
1995,ATCM,19,ATCM XIX,wp,12,,,,,
1995,ATCM,19,ATCM XIX,wp,14,,,,,
1995,ATCM,19,ATCM XIX,wp,16,,,,,
1995,ATCM,19,ATCM XIX,wp,17,,,,,
1995,ATCM,19,ATCM XIX,wp,19,,,,,
1995,ATCM,19,ATCM XIX,wp,20,,,,,
1995,ATCM,19,ATCM XIX,wp,21,,,,,
1995,ATCM,19,ATCM XIX,wp,22,,,,,
1995,ATCM,19,ATCM XIX,wp,23,,,,,
1995,ATCM,19,ATCM XIX,wp,24,,,,,
1995,ATCM,19,ATCM XIX,wp,25,,,,,
1995,ATCM,19,ATCM XIX,wp,26,,,,,
1995,ATCM,19,ATCM XIX,wp,27,,,,,
1995,ATCM,19,ATCM XIX,wp,28,,,,,
1995,ATCM,19,ATCM XIX,wp,29,,,,,
1995,ATCM,19,ATCM XIX,wp,30,,,,,
1995,ATCM,19,ATCM XIX,wp,31,,,,,
1995,ATCM,19,ATCM XIX,wp,32,,,,,
1995,ATCM,19,ATCM XIX,wp,33,,,,,
1995,ATCM,19,ATCM XIX,wp,34,,,,,
1995,ATCM,19,ATCM XIX,wp,35,,,,,
1998,ATCM,22,ATCM XXII - CEP I,wp,9,,,,,
1998,ATCM,22,ATCM XXII - CEP I,wp,28,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,1,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,3,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,6,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,8,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,17,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,18,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,27,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,28,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,30,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,35,,,,,
2001,ATCM,24,ATCM XXIV - CEP IV,wp,36,,,,,
2002,ATCM,25,ATCM XXV - CEP V,wp,24,,,,,
