meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1989,ATCM,15,ATCM XV,wp,67,2,Draft language for report concentration of siting of stations,,United Kingdom,https://documents.ats.aq/ATCM15/wp/ATCM15_wp067_rev2_e.pdf
1961,ATCM,1,ATCM I,wp,2,0,Rules of procedure,ATCM 2,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp002_e.pdf
1961,ATCM,1,ATCM I,wp,2,1,Exchange of scientific personnel,ATCM 7,New Zealand,https://documents.ats.aq/ATCM1/wp/ATCM1_wp002_rev1_e.pdf
1962,ATCM,2,ATCM II,wp,20,0,"Complementation of the exchange of information supplied in accordance with the provisions of Article VII, paragraph 5 of the Antarctic Treaty, and Recommendation I-VI of the First Consultative Meeting.",ATCM 9,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp020_e.pdf
1962,ATCM,2,ATCM II,wp,20,1,Exchange of information regarding the carrying out of the proposed Antarctic activities,ATCM 11,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp020_rev1_e.pdf
1966,ATCM,4,ATCM IV,wp,61,0,The Next Meeting,ATCM 10,Australia | Chile | United States,https://documents.ats.aq/ATCM4/wp/ATCM4_wp061_e.pdf
1966,ATCM,4,ATCM IV,wp,61,1,The Next Meeting,ATCM 12,Australia | Chile | United States,https://documents.ats.aq/ATCM4/wp/ATCM4_wp061_rev1_e.pdf
1970,ATCM,6,ATCM VI,wp,6,0,Exchange of Information: Ocean Research Vessels,ATCM 1 | ATCM 16,Japan | United States,https://documents.ats.aq/ATCM6/wp/ATCM6_wp006_e.pdf
1970,ATCM,6,ATCM VI,wp,6,1,Exchange of Information on Ocean Research Vessels,ATCM 16,United States,https://documents.ats.aq/ATCM6/wp/ATCM6_wp006_rev1_e.pdf
1970,ATCM,6,ATCM VI,wp,6,2,Exchange of Information on Oceanographic Research,ATCM 16,United States,https://documents.ats.aq/ATCM6/wp/ATCM6_wp006_rev2_e.pdf
1970,ATCM,6,ATCM VI,wp,11,0,Antarctic Meteorology,ATCM 6,Russian Federation,https://documents.ats.aq/ATCM6/wp/ATCM6_wp011_e.pdf
1970,ATCM,6,ATCM VI,wp,11,1,Antarctic Meteorology,ATCM 6,Russian Federation,https://documents.ats.aq/ATCM6/wp/ATCM6_wp011_rev1_e.pdf
1970,ATCM,6,ATCM VI,wp,11,2,Antarctic Meteorology,ATCM 6 | ATCM 7,Argentina | Australia | Russian Federation,https://documents.ats.aq/ATCM6/wp/ATCM6_wp011_rev2_e.pdf
1970,ATCM,6,ATCM VI,wp,11,3,Antarctic Meteorology,ATCM 6,Argentina | Australia | Russian Federation,https://documents.ats.aq/ATCM6/wp/ATCM6_wp011_rev3_e.pdf
