meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1961,ATCM,1,ATCM I,wp,2,0,Rules of procedure,ATCM 2,Australia,https://documents.ats.aq/ATCM1/wp/ATCM1_wp002_e.pdf
1961,ATCM,1,ATCM I,wp,2,1,Exchange of scientific personnel,ATCM 7,New Zealand,https://documents.ats.aq/ATCM1/wp/ATCM1_wp002_rev1_e.pdf
1964,ATCM,3,ATCM III,wp,4,0,Pelagic sealing,ATCM 1,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp004_e.pdf
1964,ATCM,3,ATCM III,wp,4,1,"Pelagic sealing. Point proposal for recommendation by the delegations of Australia, United States of America, Norway, United Kingdom and USSR.",ATCM 1,Australia | Norway | Russian Federation | United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp004_rev1_e.pdf
1964,ATCM,3,ATCM III,wp,4,2,Pelagic sealing and the taking of fauna on pack ice.,ATCM 1,Australia | Norway | Russian Federation | United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp004_rev2_e.pdf
1964,ATCM,3,ATCM III,wp,4,3,Pelagic sealing and the taking of fauna on pack ice.,ATCM 1,Australia | Norway | Russian Federation | United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp004_rev3_e.pdf
1964,ATCM,3,ATCM III,wp,9,0,"Standing Committee on Antarctic meteorology dated April 3, 1964: Recommendation proposed by U.K.",ATCM 3,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp009_e.pdf
1964,ATCM,3,ATCM III,wp,9,1,"Standing Committee on Antarctic meteorology dated April 3, 1964",ATCM 3,Chile | United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp009_rev1_e.pdf
1964,ATCM,3,ATCM III,wp,9,2,Draft recommendation concerning item 3 on the Agenda,ATCM 3,Russian Federation,https://documents.ats.aq/ATCM3/wp/ATCM3_wp009_rev2_e.pdf
1964,ATCM,3,ATCM III,wp,10,0,"Notification of refuges that are unoccupied but could be used by an expedition in difficulty, and report upon the condition of the refuge after use.",ATCM 7,Australia | United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp010_e.pdf
1964,ATCM,3,ATCM III,wp,10,1,"Notification of refuges that are unoccupied but could be used by an expedition in difficulty, and report upon the condition of the refuge after use.",ATCM 7,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp010_rev1_e.pdf
1964,ATCM,3,ATCM III,wp,16,0,Logistics Symposium,ATCM 12,Argentina,https://documents.ats.aq/ATCM3/wp/ATCM3_wp016_e.pdf
1964,ATCM,3,ATCM III,wp,16,1,"Draft recommended by the working group Argentina, Belgium, United States of America",ATCM 12,Argentina | Belgium | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp016_rev1_e.pdf
1964,ATCM,3,ATCM III,wp,16,2,"Draft recommended by the working group Argentina, Belgium, United States of America",ATCM 12,Argentina | Belgium | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp016_rev2_e.pdf
1964,ATCM,3,ATCM III,wp,21,0,"Proposed amendment of the delegation of the United States of America concerning Agenda item 7, refuge huts",ATCM 7,United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp021_e.pdf
1964,ATCM,3,ATCM III,wp,21,1,Revision proposed jointly by the delegations of the United States of America and the United Kingdom to Doc. p. 21 concerning refuge huts,ATCM 7,United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp021_rev1_e.pdf
1966,ATCM,4,ATCM IV,wp,31,0,Draft Recommendation submitted by Australia and the United States under item Status of Meetings of Experts,ATCM 3,Australia | United States,https://documents.ats.aq/ATCM4/wp/ATCM4_wp031_e.pdf
1966,ATCM,4,ATCM IV,wp,31,1,Meeting of Experts,ATCM 3,Australia | Russian Federation | United States,https://documents.ats.aq/ATCM4/wp/ATCM4_wp031_rev1_e.pdf
